0:0:0:0:0:0:0:1%0 - - [18/Jun/2013:10:35:12 -0400] "GET /tutorial HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [18/Jun/2013:10:35:13 -0400] "GET /tutorial/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1%0 - - [18/Jun/2013:10:35:27 -0400] "GET /tutorial/index.zul HTTP/1.1" 404 987
0:0:0:0:0:0:0:1%0 - - [18/Jun/2013:10:36:51 -0400] "GET /tutorial/index.zul HTTP/1.1" 404 987
0:0:0:0:0:0:0:1%0 - - [18/Jun/2013:10:41:12 -0400] "GET /tutorial/index.zul HTTP/1.1" 404 987
0:0:0:0:0:0:0:1%0 - - [18/Jun/2013:10:41:17 -0400] "GET /tutorial/ HTTP/1.1" 404 969
0:0:0:0:0:0:0:1%0 - - [18/Jun/2013:12:35:26 -0400] "GET /tutorial/ HTTP/1.1" 200 934
0:0:0:0:0:0:0:1%0 - - [18/Jun/2013:12:35:26 -0400] "GET /tutorial/zkau/web/439b83ff/js/zul.lang.wpd;jsessionid=7373F9CA8FCF4196CB2A5371DF9498D0 HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1%0 - - [18/Jun/2013:12:35:26 -0400] "GET /tutorial/zkau/web/439b83ff/js/zk.wpd;jsessionid=7373F9CA8FCF4196CB2A5371DF9498D0 HTTP/1.1" 200 109591
0:0:0:0:0:0:0:1%0 - - [18/Jun/2013:12:35:26 -0400] "GET /tutorial/zkau/web/439b83ff/zul/css/zk.wcs;jsessionid=7373F9CA8FCF4196CB2A5371DF9498D0 HTTP/1.1" 200 20956
0:0:0:0:0:0:0:1%0 - - [18/Jun/2013:12:35:26 -0400] "GET /tutorial/zkau/web/439b83ff/zul/img/misc/progress.gif HTTP/1.1" 200 1849
0:0:0:0:0:0:0:1%0 - - [18/Jun/2013:12:35:26 -0400] "GET /tutorial/zkau/web/_zv2013032614/js/zul.layout.wpd;jsessionid=7373F9CA8FCF4196CB2A5371DF9498D0 HTTP/1.1" 200 7525
0:0:0:0:0:0:0:1%0 - - [18/Jun/2013:12:35:26 -0400] "GET /tutorial/zkau/web/439b83ff/zul/img/splt/splt-v.png HTTP/1.1" 200 162
0:0:0:0:0:0:0:1%0 - - [18/Jun/2013:12:35:26 -0400] "GET /tutorial/zkau/web/439b83ff/zul/img/splt/colps-b.png HTTP/1.1" 200 225
0:0:0:0:0:0:0:1%0 - - [18/Jun/2013:12:35:26 -0400] "GET /tutorial/zkau/web/439b83ff/zul/img/splt/splt-h.png HTTP/1.1" 200 153
0:0:0:0:0:0:0:1%0 - - [18/Jun/2013:12:35:26 -0400] "GET /tutorial/zkau/web/439b83ff/zul/img/splt/colps-t.png HTTP/1.1" 200 217
